mall,acc
m_1263,0.781229773463
m_3517,0.930606198724
m_5892,0.926535448621
m_3054,0.895719489982
m_4168,0.855177684371
m_4406,0.945601155374
m_2878,0.798225659691
m_3112,0.935097353969
m_625,0.938205980066
m_626,0.931794871795
m_623,0.961865206721
m_622,0.949149087945
m_4011,0.949371699144
m_3445,0.91963987996
m_3528,0.901064979163
m_5154,0.964915225785
m_1085,0.907545164718
m_7800,0.684219362059
m_3832,0.955741530538
m_822,0.9227802465
m_4495,0.965462883348
m_3739,0.892727272727
m_8379,0.912600845179
m_5810,0.919128618323
m_7374,0.883534631501
m_4094,0.890204915885
m_1790,0.921377355344
m_6167,0.74528118311
m_4828,0.902068691155
m_2224,0.751024290313
m_7973,0.799515282079
m_4923,0.934778363601
m_6587,0.918872843963
m_4543,0.937147461724
m_3425,0.933750823995
m_2182,0.943918271789
m_4422,0.726438478983
m_2058,0.927685950413
m_1409,0.939763381907
m_7601,0.886897650339
m_4033,0.918580662907
m_1377,0.775648841665
m_615,0.967188179053
m_4079,0.770889642878
m_1621,0.880125786164
m_2333,0.930446735395
m_1021,0.888503253796
m_5529,0.796955403087
m_2907,0.961196820944
m_5085,0.949205894978
m_690,0.872802939744
m_4121,0.942335554912
m_2009,0.944071342068
m_6337,0.841908558615
m_7523,0.937171644476
m_3313,0.949167791273
m_8344,0.934010443565
m_9054,0.917905405405
m_3019,0.88520035098
m_7994,0.955571609175
m_5825,0.824643903769
m_1950,0.927950760319
m_4759,0.942372881356
m_4341,0.891613076099
m_909,0.904417555667
m_4459,0.945652173913
m_1293,0.799542834427
m_4515,0.924346879536
m_3005,0.880816418839
m_2123,0.953038674033
m_1920,0.801491725585
m_2267,0.933725280599
