,acc,estimators,mall,weight
0,0.781229773463,110,m_1263,0
0,0.930606198724,110,m_3517,0
0,0.926535448621,110,m_5892,0
0,0.895719489982,110,m_3054,0
0,0.855177684371,110,m_4168,0
0,0.945601155374,110,m_4406,0
0,0.798225659691,110,m_2878,0
0,0.935097353969,110,m_3112,0
0,0.938205980066,110,m_625,0
0,0.931794871795,110,m_626,0
0,0.961865206721,110,m_623,0
0,0.949149087945,110,m_622,0
0,0.949371699144,110,m_4011,0
0,0.91963987996,110,m_3445,0
0,0.901064979163,110,m_3528,0
0,0.964915225785,110,m_5154,0
0,0.907545164718,110,m_1085,0
0,0.684219362059,110,m_7800,0
0,0.955741530538,110,m_3832,0
0,0.9227802465,110,m_822,0
0,0.965462883348,110,m_4495,0
0,0.892727272727,110,m_3739,0
0,0.912600845179,110,m_8379,0
0,0.919128618323,110,m_5810,0
0,0.883534631501,110,m_7374,0
0,0.890204915885,110,m_4094,0
0,0.921377355344,110,m_1790,0
0,0.74528118311,110,m_6167,0
0,0.902068691155,110,m_4828,0
0,0.751024290313,110,m_2224,0
0,0.799515282079,110,m_7973,0
0,0.934778363601,110,m_4923,0
0,0.918872843963,110,m_6587,0
0,0.937147461724,110,m_4543,0
0,0.933750823995,110,m_3425,0
0,0.943918271789,110,m_2182,0
0,0.726438478983,110,m_4422,0
0,0.927685950413,110,m_2058,0
0,0.939763381907,110,m_1409,0
0,0.886897650339,110,m_7601,0
0,0.918580662907,110,m_4033,0
0,0.775648841665,110,m_1377,0
0,0.967188179053,110,m_615,0
0,0.770889642878,110,m_4079,0
0,0.880125786164,110,m_1621,0
0,0.930446735395,110,m_2333,0
0,0.888503253796,110,m_1021,0
0,0.796955403087,110,m_5529,0
0,0.961196820944,110,m_2907,0
0,0.949205894978,110,m_5085,0
0,0.872802939744,110,m_690,0
0,0.942335554912,110,m_4121,0
0,0.944071342068,110,m_2009,0
0,0.841908558615,110,m_6337,0
0,0.937171644476,110,m_7523,0
0,0.949167791273,110,m_3313,0
0,0.934010443565,110,m_8344,0
0,0.917905405405,110,m_9054,0
0,0.88520035098,110,m_3019,0
0,0.955571609175,110,m_7994,0
0,0.824643903769,110,m_5825,0
0,0.927950760319,110,m_1950,0
0,0.942372881356,110,m_4759,0
0,0.891613076099,110,m_4341,0
0,0.904417555667,110,m_909,0
0,0.945652173913,110,m_4459,0
0,0.799542834427,110,m_1293,0
0,0.924346879536,110,m_4515,0
0,0.880816418839,110,m_3005,0
0,0.953038674033,110,m_2123,0
0,0.801491725585,110,m_1920,0
0,0.933725280599,110,m_2267,0
